address,price,details,bedrooms,bathrooms,category,city
"237 Deerchase Cir, Vaughan, ON L4H 1G9",2199900.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"46 Burgundy Trl, Vaughan, ON L4J 8V9",1399900.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"57 Dimarino Dr, Vaughan, ON L6A 0E8",1799000.0,5 bds5 ba- House for sale,5.0,5.0,House,Vaughan
"10596 Bathurst St, Vaughan, ON L6A 4Y4",999999.0,4 bds4 ba- Townhouse for sale,4.0,4.0,Townhouse,Vaughan
"10 Athena Ct, Vaughan, ON L4L 3H4",1285900.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"168 Seabreeze Ave, Vaughan, ON L4J 9H2",1580000.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"525 Chancellor Dr, Vaughan, ON L4L 5G2",1199000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"54 Carpaccio Ave, Vaughan, ON L4H 4R5",1100000.0,"4 bds4 ba2,300 sqft- New construction",4.0,4.0,New Construction,Vaughan
"130 Gesher Cres, Vaughan, ON L6A 0W9",1100000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"98 Golden Trl, Vaughan, ON L6A 5A1",1359900.0,4 bds3 ba- Townhouse for sale,4.0,3.0,Townhouse,Vaughan
"132 Spring Gate Blvd, Vaughan, ON L4J 3L8",1980000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"38 Santina St, Vaughan, ON L4H 2M2",1649000.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"6 Criscione Dr, Vaughan, ON L4H 1W9",1357900.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"492 Greenock Dr, Vaughan, ON L6A 1M7",1299999.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"2502 Rutherford Rd #204, Vaughan, ON L4K 5N6",699900.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"142 Ferdinand Ave, Vaughan, ON L6A 3H4",1449000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"89 Echo Ridge Cres, Vaughan, ON L4H 2K1",1049000.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"41 Gianmarco Way, Vaughan, ON L6A 3J3",899900.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Vaughan
"82 Arianna Cres, Vaughan, ON L6A 4Z9",1289900.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Vaughan
"19 Cedarpoint Ct, Vaughan, ON L6A 4P7",2999900.0,5 bds6 ba- House for sale,5.0,6.0,House,Vaughan
"7 Townsgate Dr #707, Vaughan, ON L4J 7Z9",814987.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"164 Parktree Dr, Vaughan, ON L6A 2W5",989000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"210 Maple Sugar Ln, Vaughan, ON L4J 8V3",999900.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"15 Abner Miles Dr, Vaughan, ON L6A 4X6",2499900.0,5 bds7 ba- House for sale,5.0,7.0,House,Vaughan
"110 Promenade Cir #1612, Vaughan, ON L4J 7W8",838000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"149 Black Maple Cres, Vaughan, ON L6A 4G6",999900.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"74 Chaiwood Ct, Vaughan, ON L6A 0V9",2999999.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"9560 Islington Ave #228, Vaughan, ON L4H 4Z5",788888.0,"2 bds3 ba1,110 sqft- Townhouse for sale",2.0,3.0,Townhouse,Vaughan
"3 Ivy Glen Dr, Vaughan, ON L6A 0P3",1999999.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"2900 Highway 7 Rd #3407, Vaughan, ON L4K 0G3",840000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"96 Coles Ave, Vaughan, ON L4L 1L9",877000.0,"3 bds4 ba2,280 sqft- House for sale",3.0,4.0,House,Vaughan
"2 Sweet Emily Ct, Vaughan, ON L6A 0G6",2168000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"72 Glen Cres, Vaughan, ON L4J 4W6",1320000.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"41 Laskin Dr, Vaughan, ON L6A 5A4",999800.0,3 bds4 ba- Townhouse for sale,3.0,4.0,Townhouse,Vaughan
"83 Roseheath Dr, Vaughan, ON L6A 2B6",889000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"5 Angelico Ave, Vaughan, ON L4H 3L3",1299000.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"116 Cabernet Rd, Vaughan, ON L4J 8V7",1118000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"122 Vittorio De Luca Dr, Vaughan, ON L4L 0A8",924900.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"68 Neuchatel Ave, Vaughan, ON L4H 2Y3",1424990.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
